Cluster#,GeneID,CORUM complex,Product Description,#TM Domains,Ortholog Group,Computed GO Components,Computed GO Functions,Computed GO Processes,Symbol,Phenotype Bushell 2017,Phenotype Zhang 2018
25,PF3D7_1466300,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","26S proteasome regulatory subunit RPN2, putative",0,OG5_127160,proteasome complex,"binding, enzyme regulator activity",regulation of protein catabolic process,RPN2,Essential,Non - Mutable in CDS
25,PF3D7_0413600,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","26S protease regulatory subunit 6B, putative",0,OG5_127831,cytoplasm,"ATP binding, hydrolase activity",protein catabolic process,RPT3,Slow,Non - Mutable in CDS
25,PF3D7_0205900,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","26S proteasome regulatory subunit RPN1, putative",0,OG5_127950,proteasome complex,"binding, enzyme regulator activity",regulation of protein catabolic process,RPN1,Slow,Non - Mutable in CDS
25,PF3D7_1206200,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","eukaryotic translation initiation factor 3 subunit C, putative",0,OG5_127970,eukaryotic translation initiation factor 3 complex,"translation initiation factor activity, translation initiation factor binding",translational initiation,EIF3C,Essential,Non - Mutable in CDS
25,PF3D7_1248900,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","26S protease regulatory subunit 8, putative",0,OG5_127606,cytoplasm,"ATP binding, hydrolase activity",protein catabolic process,RPT6,,Non - Mutable in CDS
25,PF3D7_0912900,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","26S proteasome regulatory subunit RPN8, putative",0,OG5_127933,null,protein binding,null,RPN8,Essential,Non - Mutable in CDS
25,PF3D7_1130400,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","26S protease regulatory subunit 6A, putative",0,OG5_127786,cytoplasm,"ATP binding, hydrolase activity",protein catabolic process,RPT5,Essential,Non - Mutable in CDS
25,PF3D7_1368100,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","26S proteasome regulatory subunit RPN11, putative",0,OG5_127757,null,protein binding,null,RPN11,,Non - Mutable in CDS
25,PF3D7_1338100,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","26S proteasome regulatory subunit RPN3, putative",0,OG5_128135,proteasome complex,"enzyme regulator activity, protein binding",regulation of protein catabolic process,RPN3,Essential,Non - Mutable in CDS
25,PF3D7_1212700,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","eukaryotic translation initiation factor 3 subunit A, putative",0,OG5_128741,null,protein binding,null,EIF3A,,Non - Mutable in CDS
25,PF3D7_1030500,"PA700 complex; 26S proteasome; PA700-20S-PA28 complex; eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7); eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1); EIF3 complex (EIF3A, EIF3B, EIF3G, EIF3I, EIF3C)","26S proteasome regulatory subunit RPN9, putative",0,OG5_127891,null,protein binding,null,RPN9,Essential,Non - Mutable in CDS
26,PF3D7_1138400,,guanylyl cyclase,19,OG5_133188,null,"ATP binding, magnesium ion binding, metal ion binding, nucleotide binding, phospholipid-translocating ATPase activity, phosphorus-oxygen lyase activity","cyclic nucleotide biosynthetic process, intracellular signal transduction, phospholipid transport",GCALPHA,Slow,Mutable in CDS
26,PF3D7_1117700,,GTP-binding nuclear protein RAN/TC4,0,OG5_127514,"intracellular, membrane","GTP binding, GTPase activity","GTP catabolic process, intracellular protein transport, nucleocytoplasmic transport, small GTPase mediated signal transduction",RAN,Essential,Non - Mutable in CDS
27,PF3D7_1118400,,"haloacid dehalogenase-like hydrolase, putative",0,OG5_141470,null,hydrolase activity,metabolic process,PF11_0190,Dispensable,Mutable in CDS
27,PF3D7_0515800,,"BolA-like protein, putative",0,OG5_127446,null,null,null,MAL5P1.158,,Non - Mutable in CDS
28,PF3D7_1314500,,"cop-coated vesicle membrane protein p24 precursor, putative",2,OG5_127521,integral component of membrane,null,transport,PF13_0082,Dispensable,Non - Mutable in CDS
28,PF3D7_0905900,,"coatomer subunit beta, putative",0,OG5_127760,membrane coat,"protein binding, structural molecule activity","intracellular protein transport, vesicle-mediated transport",SEC27,,Mutable in CDS
29,PF3D7_0511000,,translationally-controlled tumor protein homolog,0,OG5_127617,null,null,null,TCTP,Slow,Mutable in CDS
29,PF3D7_0916600,,"methyltransferase, putative",0,OG5_129355,null,"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity, 3-demethylubiquinone-9 3-O-methyltransferase activity",ubiquinone biosynthetic process,PFI0815C,Dispensable,Mutable in CDS
29,PF3D7_1132900,,glycine cleavage system H protein,0,OG5_127169,null,null,null,GCVH,Essential,Non - Mutable in CDS
29,PF3D7_1332500,,"SAM-dependent RNA methyltransferase, putative",0,OG5_133333,cytoplasm,methyltransferase activity,null,PF13_0175,,Mutable in CDS
29,PF3D7_1332800,,"eukaryotic translation initiation factor 6, putative",0,OG5_127488,null,ribosome binding,mature ribosome assembly,PF13_0178,,Non - Mutable in CDS
29,PF3D7_1460400,,ubiquitin carboxyl-terminal hydrolase isozyme L3,0,OG5_127717,intracellular,ubiquitin-specific protease activity,ubiquitin-dependent protein catabolic process,UCHL3,,Non - Mutable in CDS
29,PF3D7_1224500,,"histone chaperone ASF1, putative",0,OG5_127499,nucleus,histone binding,"chromatin assembly or disassembly, histone acetylation, nucleosome assembly, nucleosome disassembly",ASF1,,Non - Mutable in CDS
29,PF3D7_0106400,,"pre-rRNA-processing protein TSR2, putative",0,OG5_129326,null,null,rRNA processing,MAL1P1.55,Essential,Non - Mutable in CDS
29,PF3D7_0828900,,"conserved Plasmodium protein, unknown function",0,OG5_146989,null,transferase activity,null,PF08_0007,,Non - Mutable in CDS
29,PF3D7_0810000,,"acyl-CoA binding protein, putative",0,OG5_127366,null,fatty-acyl-CoA binding,null,PF08_0099,Dispensable,Non - Mutable in CDS
29,PF3D7_1367000,,"suppressor of kinetochore protein 1, putative",0,OG5_127430,null,null,ubiquitin-dependent protein catabolic process,SKP1,,Non - Mutable in CDS
29,PF3D7_1406700,,vacuolar protein sorting-associated protein 29,0,OG5_127553,null,null,null,VPS29,Essential,Non - Mutable in CDS
29,PF3D7_1213700,,"DNA-directed RNA polymerases I, II, and III subunit RPABC3, putative",0,OG5_127936,null,null,"transcription, DNA-templated",RPB8,,Non - Mutable in CDS
29,PF3D7_0306300,,glutaredoxin 1,0,OG5_126864,null,"electron carrier activity, protein disulfide oxidoreductase activity",cell redox homeostasis,GRX1,Dispensable,Non - Mutable in CDS
29,PF3D7_1351100,,"conserved protein, unknown function",0,OG5_128549,null,null,null,MAL13P1.257,,Non - Mutable in CDS
30,PF3D7_0803000,,peptidyl-prolyl cis-trans isomerase,0,OG5_139999,null,peptidyl-prolyl cis-trans isomerase activity,"protein folding, protein peptidyl-prolyl isomerization",CYP81,,Mutable in CDS
30,PF3D7_1116800,,heat shock protein 101,1,OG5_126636,null,ATP binding,protein metabolic process,HSP101,Essential,Non - Mutable in CDS
31,PF3D7_1248200,,"pre-mRNA-splicing factor RBM22, putative",0,OG5_128702,null,"metal ion binding, nucleic acid binding, nucleotide binding",null,RBM22,Essential,Non - Mutable in CDS
31,PF3D7_0827800,,"SET domain protein, putative",0,OG5_153109,null,protein binding,null,SET3,Essential,Non - Mutable in CDS
32,PF3D7_1125900,,"conserved Plasmodium protein, unknown function",0,OG5_158056,cytoplasm,nucleotide binding,null,PF11_0269,,Non - Mutable in CDS
32,PF3D7_0907100,,"conserved Plasmodium protein, unknown function",2,OG5_167132,nucleus,null,null,PFI0340C,,Mutable in CDS
32,PF3D7_1216300,,signal recognition particle subunit SRP19,0,OG5_128121,signal recognition particle,7S RNA binding,SRP-dependent cotranslational protein targeting to membrane,SRP19,Essential,Non - Mutable in CDS
32,PKNH_1000600,,PIR protein,1,OG5_173946,null,null,null,,,
32,PF3D7_1118000,,"conserved Plasmodium protein, unknown function",0,OG5_196861,null,null,null,PF11_0186,,Non - Mutable in CDS
33,PF3D7_1356800,,"serine/threonine protein kinase, putative",0,OG5_160431,null,"ATP binding, protein kinase activity",protein phosphorylation,ARK3,,Mutable in CDS
33,PF3D7_1203700,,nucleosome assembly protein,0,OG5_127308,nucleus,null,nucleosome assembly,NAPL,Essential,Non - Mutable in CDS
33,PF3D7_0503300,,serine/arginine-rich splicing factor 12,0,OG5_127418,null,"nucleic acid binding, nucleotide binding",null,SRSF12,Essential,Non - Mutable in CDS
33,PF3D7_0811100,,"mitochondrial carrier protein, putative",4,OG5_159822,null,null,null,PF08_0093,Slow,Mutable in CDS
34,PF3D7_0619400,"SNARE complex (Stx5, p97, Nsfl1c); p47-p97 complex; p97-p47 oligomer complex","cell division cycle protein 48 homologue, putative",0,OG5_126926,null,"ATP binding, hydrolase activity",null,2270.T00082,Essential,Non - Mutable in CDS
34,PF3D7_0808300,"SNARE complex (Stx5, p97, Nsfl1c); p47-p97 complex; p97-p47 oligomer complex","ubiquitin regulatory protein, putative",0,OG5_127612,null,protein binding,null,MAL8P1.122,,Non - Mutable in CDS
35,PF3D7_1347400,,"conserved Plasmodium protein, unknown function",2,OG5_173901,"integral component of membrane, plasma membrane",null,null,MAL13P1.236,,Non - Mutable in CDS
35,PF3D7_1107400,,DNA repair protein RAD51,0,OG5_126834,null,"ATP binding, DNA-dependent ATPase activity, damaged DNA binding, double-stranded DNA binding, single-stranded DNA binding","DNA repair, double-strand break repair via homologous recombination, homologous recombination-dependent replication fork processing",RAD51,,Non - Mutable in CDS
36,PF3D7_0109000,,"photosensitized INA-labeled protein PHIL1, putative",0,OG5_150593,null,null,null,PHIL1,Essential,Non - Mutable in CDS
36,PF3D7_1019900,,autophagy-related protein 8,0,OG5_126969,null,null,null,ATG8,Essential,Non - Mutable in CDS
37,PF3D7_1437900,,"HSP40, subfamily A, putative",0,OG5_126883,null,"heat shock protein binding, unfolded protein binding",protein folding,HSP40,,Non - Mutable in CDS
37,PF3D7_1410200,,cytidine triphosphate synthetase,0,OG5_126851,null,CTP synthase activity,pyrimidine nucleotide biosynthetic process,PF14_0100,Essential,Non - Mutable in CDS
37,PF3D7_0825500,,"protein KRI1, putative",0,OG5_128130,null,zinc ion binding,null,KRI1,Essential,Non - Mutable in CDS
38,PF3D7_0517000,,"60S ribosomal protein L12, putative",0,OG5_127022,ribosome,structural constituent of ribosome,translation,PFE0850C,Essential,Non - Mutable in CDS
38,PF3D7_1310800,,"conserved Plasmodium protein, unknown function",0,OG5_128247,nucleus,protein binding,null,MAL13P1.52,,Non - Mutable in CDS
39,PF3D7_0930800,,"conserved Plasmodium membrane protein, unknown function",9,OG5_161719,cytoplasm,"magnesium ion binding, ribulose-bisphosphate carboxylase activity",carbon fixation,PFI1500W,,Mutable in CDS
39,PF3D7_1320600,,ras-related protein Rab-11A,0,OG5_126971,"intracellular, membrane","GTP binding, GTPase activity","GTP catabolic process, intracellular protein transport, nucleocytoplasmic transport, small GTPase mediated signal transduction",RAB11A,,Non - Mutable in CDS
40,PF3D7_1144000,,40S ribosomal protein S21,0,OG5_127484,ribosome,structural constituent of ribosome,translation,RPS21,Essential,Non - Mutable in CDS
40,PF3D7_0602500,,"geranylgeranyltransferase, putative",0,OG5_127744,null,"Rab geranylgeranyltransferase activity, catalytic activity",null,2270.T00290,Essential,Non - Mutable in CDS
40,PF3D7_0417500,,memo-like protein,0,OG5_127479,null,null,null,MAL4P1.165,Dispensable,
41,PF3D7_0821400,,"conserved Plasmodium protein, unknown function",0,OG5_184633,cytoplasm,null,null,MAL8P1.52,Slow,Non - Mutable in CDS
41,PF3D7_1474600,,"conserved Plasmodium membrane protein, unknown function",6,OG5_129330,"Golgi apparatus, endoplasmic reticulum, endoplasmic reticulum-Golgi intermediate compartment, integral component of membrane",null,null,PF14_0714,,Non - Mutable in CDS
42,PF3D7_1417200,,"NOT family protein, putative",0,OG5_161009,null,null,null,PF14_0170,Essential,Mutable in CDS
42,PF3D7_0606700,,"coatomer alpha subunit, putative",0,OG5_127808,COPI vesicle coat,"protein binding, structural molecule activity","intracellular protein transport, vesicle-mediated transport",2270.T00249,Essential,Non - Mutable in CDS
43,PF3D7_0818900,,heat shock protein 70,0,OG5_126588,null,null,null,HSP70,Essential,Non - Mutable in CDS
43,PF3D7_1437200,,"ribonucleoside-diphosphate reductase large subunit, putative",0,OG5_126839,null,"ATP binding, ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor","DNA replication, oxidation-reduction process",PF14_0352,Essential,Non - Mutable in CDS
43,PF3D7_1225800,,ubiquitin-activating enzyme E1,0,OG5_127070,null,"ATP binding, small protein activating enzyme activity",cellular protein modification process,UBA1,Dispensable,Non - Mutable in CDS
43,PF3D7_0217900,,"conserved Plasmodium protein, unknown function",0,OG5_164154,null,carboxylic ester hydrolase activity,null,PF02_0170,,Non - Mutable in CDS
43,PF3D7_1034900,,methionine--tRNA ligase,0,OG5_127468,cytoplasm,"ATP binding, methionine-tRNA ligase activity",methionyl-tRNA aminoacylation,MRSCYT,,Non - Mutable in CDS
43,PF3D7_1451100,,elongation factor 2,0,OG5_126923,null,"GTP binding, GTPase activity",null,EEF2,Essential,Non - Mutable in CDS
43,PF3D7_1124600,,ethanolamine kinase,0,OG5_127649,null,"transferase activity, transferring phosphorus-containing groups",null,EK,Slow,Non - Mutable in CDS
43,PF3D7_0505900,,"conserved Plasmodium protein, unknown function",0,OG5_184648,"cytoplasm, prefoldin complex",unfolded protein binding,protein folding,MAL5P1.59,,Non - Mutable in CDS
43,PF3D7_1405600,,"ribonucleoside-diphosphate reductase small chain, putative",0,OG5_126823,null,null,"deoxyribonucleoside diphosphate metabolic process, oxidation-reduction process",RNR,Essential,Non - Mutable in CDS
43,PF3D7_1324900,,L-lactate dehydrogenase,1,OG5_126911,null,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","cellular carbohydrate metabolic process, oxidation-reduction process",LDH,Essential,Non - Mutable in CDS
43,PF3D7_1015800,,"ribonucleoside-diphosphate reductase small chain, putative",0,OG5_145115,null,null,"deoxyribonucleoside diphosphate metabolic process, oxidation-reduction process",PF10_0154,Essential,Non - Mutable in CDS
43,PF3D7_1012600,,GMP synthase [glutamine-hydrolyzing],0,OG5_127152,null,"ATP binding, GMP synthase (glutamine-hydrolyzing) activity, pyrophosphatase activity",GMP biosynthetic process,GMPS,Slow,Non - Mutable in CDS
44,PF3D7_0320300,CCT micro-complex; CCT complex (chaperonin containing TCP1 complex),T-complex protein 1 subunit epsilon,0,OG5_127343,null,"ATP binding, unfolded protein binding",protein folding,CCT5,Essential,Non - Mutable in CDS
44,PF3D7_0308200,CCT micro-complex; CCT complex (chaperonin containing TCP1 complex),T-complex protein 1 subunit eta,0,OG5_127782,null,"ATP binding, unfolded protein binding",protein folding,CCT7,Essential,Non - Mutable in CDS
44,PF3D7_1232100,CCT micro-complex; CCT complex (chaperonin containing TCP1 complex),60 kDa chaperonin,1,OG5_135175,null,ATP binding,"cellular protein metabolic process, protein refolding",CPN60,Essential,Non - Mutable in CDS
44,PF3D7_0214000,CCT micro-complex; CCT complex (chaperonin containing TCP1 complex),T-complex protein 1 subunit theta,0,OG5_127923,null,"ATP binding, unfolded protein binding",protein folding,CCT8,,Non - Mutable in CDS
44,PF3D7_0306800,CCT micro-complex; CCT complex (chaperonin containing TCP1 complex),T-complex protein 1 subunit beta,0,OG5_127730,null,"ATP binding, unfolded protein binding",protein folding,CCT2,Essential,Non - Mutable in CDS
44,PF3D7_0608700,CCT micro-complex; CCT complex (chaperonin containing TCP1 complex),T-complex protein 1 subunit zeta,0,OG5_127428,null,"ATP binding, unfolded protein binding",protein folding,CCT6,Slow,Non - Mutable in CDS
44,PF3D7_1132200,CCT micro-complex; CCT complex (chaperonin containing TCP1 complex),T-complex protein 1 subunit alpha,0,OG5_127998,null,ATP binding,cellular protein metabolic process,TCP1,,Non - Mutable in CDS
44,PF3D7_1357800,CCT micro-complex; CCT complex (chaperonin containing TCP1 complex),T-complex protein 1 subunit delta,0,OG5_127832,null,"ATP binding, unfolded protein binding",protein folding,CCT4,Essential,Non - Mutable in CDS
44,PF3D7_1229500,CCT micro-complex; CCT complex (chaperonin containing TCP1 complex),T-complex protein 1 subunit gamma,0,OG5_127483,null,"ATP binding, unfolded protein binding",protein folding,CCT3,Essential,Non - Mutable in CDS
45,PF3D7_0422700,,"eukaryotic initiation factor 4A-III, putative",0,OG5_127927,null,"ATP binding, nucleic acid binding",null,EIF4A3,Essential,Non - Mutable in CDS
45,PF3D7_1008200,,"endonuclease, putative",0,OG5_153580,null,"DNA binding, nuclease activity",DNA repair,PF10_0080,Slow,Mutable in CDS
46,PF3D7_1215000,,thioredoxin peroxidase 2,0,OG5_126593,null,peroxiredoxin activity,oxidation-reduction process,TRX-PX2,Dispensable,Non - Mutable in CDS
46,PF3D7_1134000,,heat shock protein 70,0,OG5_126744,null,"ATP binding, unfolded protein binding",protein folding,HSP70-3,,Non - Mutable in CDS
46,PF3D7_0802200,,1-cys peroxiredoxin,0,OG5_126593,null,peroxiredoxin activity,oxidation-reduction process,1-CYSPXN,,Mutable in CDS
47,PF3D7_1414800,,"small nuclear ribonucleoprotein-associated protein B, putative",0,OG5_127442,null,null,null,SMB1,,Non - Mutable in CDS
47,PF3D7_0904500,,"prefoldin subunit 4, putative",0,OG5_128513,prefoldin complex,unfolded protein binding,protein folding,PFI0220W,Slow,Non - Mutable in CDS
48,PF3D7_1127800,,"conserved Plasmodium protein, unknown function",0,OG5_153531,membrane,null,"transcription, DNA-templated",PF11_0289,,Non - Mutable in CDS
48,PF3D7_1243600,,"translation initiation factor SUI1, putative",0,OG5_127384,null,translation initiation factor activity,translational initiation,2277.T00419,Essential,Non - Mutable in CDS
48,PF3D7_1145600,,"conserved protein, unknown function",3,OG5_130655,integral component of membrane,null,null,PF11_0467,,Non - Mutable in CDS
49,PF3D7_1460600,,inner membrane complex sub-compartment protein 3,0,OG5_153621,null,null,null,ISP3,,Non - Mutable in CDS
49,PF3D7_1019900,,autophagy-related protein 8,0,OG5_126969,null,null,null,ATG8,Essential,Non - Mutable in CDS
50,PF3D7_1008700,FIB-associated protein complex,tubulin beta chain,0,OG5_126611,protein complex,"GTP binding, GTPase activity","GTP catabolic process, protein polymerization",PF10_0084,Essential,Non - Mutable in CDS
50,PF3D7_0922200,FIB-associated protein complex,S-adenosylmethionine synthetase,0,OG5_126734,null,"ATP binding, methionine adenosyltransferase activity",S-adenosylmethionine biosynthetic process,SAMS,,Non - Mutable in CDS
50,PF3D7_0422300,FIB-associated protein complex,alpha tubulin 2,0,OG5_126605,protein complex,"GTP binding, GTPase activity, structural constituent of cytoskeleton","GTP catabolic process, protein polymerization",MAL4P1.205,Essential,Non - Mutable in CDS
50,PF3D7_0903700,FIB-associated protein complex,alpha tubulin 1,0,OG5_126605,"microtubule, protein complex","GTP binding, GTPase activity, structural constituent of cytoskeleton","GTP catabolic process, microtubule-based process, protein polymerization",PFI0180W,Dispensable,Non - Mutable in CDS
50,PF3D7_1235700,FIB-associated protein complex,"ATP synthase subunit beta, mitochondrial",0,OG5_127099,"proton-transporting two-sector ATPase complex, catalytic domain","ATP binding, proton-transporting ATP synthase activity, rotational mechanism","ATP hydrolysis coupled proton transport, ATP synthesis coupled proton transport",2277.T00345,Slow,Non - Mutable in CDS
50,PF3D7_1354500,FIB-associated protein complex,adenylosuccinate synthetase,0,OG5_127011,null,"GTP binding, adenylosuccinate synthase activity",purine nucleotide biosynthetic process,ADSS,,Non - Mutable in CDS
51,PF3D7_0322000,,peptidyl-prolyl cis-trans isomerase,0,OG5_126792,null,peptidyl-prolyl cis-trans isomerase activity,"protein folding, protein peptidyl-prolyl isomerization",CYP19A,Slow,Non - Mutable in CDS
51,PF3D7_0717500,,calcium-dependent protein kinase 4,0,OG5_126600,null,"ATP binding, calcium ion binding, protein kinase activity",protein phosphorylation,CDPK4,Slow,Mutable in CDS
51,PF3D7_1129900,,"major facilitator superfamily-related transporter, putative",12,OG5_146787,membrane,null,null,MFR5,,Mutable in CDS
51,PF3D7_0206200,,pantothenate transporter,11,OG5_131121,integral component of membrane,null,transmembrane transport,PAT,,Mutable in CDS
52,PF3D7_1012700,RNA polymerase II core complex; BRCA1-core RNA polymerase II complex; RPAP1-RPB2-RPB3 complex,"NLI interacting factor-like phosphatase, putative",0,OG5_146906,null,protein binding,null,NIF4,,Non - Mutable in CDS
52,PF3D7_0215700,RNA polymerase II core complex; BRCA1-core RNA polymerase II complex; RPAP1-RPB2-RPB3 complex,"DNA-directed RNA polymerase II subunit RPB2, putative",0,OG5_126694,null,"DNA binding, DNA-directed RNA polymerase activity, ribonucleoside binding","transcription, DNA-templated",RPB2,Slow,Non - Mutable in CDS
52,PF3D7_0110400,RNA polymerase II core complex; BRCA1-core RNA polymerase II complex; RPAP1-RPB2-RPB3 complex,"DNA-directed RNA polymerase II subunit RPB9, putative",0,OG5_128243,null,"DNA binding, DNA-directed RNA polymerase activity, nucleic acid binding, zinc ion binding","transcription, DNA-templated",RPB9,Slow,Non - Mutable in CDS
52,PF3D7_0923000,RNA polymerase II core complex; BRCA1-core RNA polymerase II complex; RPAP1-RPB2-RPB3 complex,"DNA-directed RNA polymerase II subunit RPB3, putative",0,OG5_127622,null,"DNA binding, DNA-directed RNA polymerase activity, protein dimerization activity","transcription, DNA-templated",RPB3,,Non - Mutable in CDS
52,PF3D7_1364800,RNA polymerase II core complex; BRCA1-core RNA polymerase II complex; RPAP1-RPB2-RPB3 complex,"DNA-directed RNA polymerases I, II, and III subunit RPABC1, putative",0,OG5_127455,nucleus,"DNA binding, DNA-directed RNA polymerase activity","transcription, DNA-templated",RPB5,Essential,Non - Mutable in CDS
52,PF3D7_0318200,RNA polymerase II core complex; BRCA1-core RNA polymerase II complex; RPAP1-RPB2-RPB3 complex,DNA-directed RNA polymerase II subunit RPB1,0,OG5_126637,"DNA-directed RNA polymerase II, core complex","DNA binding, DNA-directed RNA polymerase activity",transcription from RNA polymerase II promoter,RPB1,Essential,Non - Mutable in CDS
53,PF3D7_0525100,,acyl-CoA synthetase,0,OG5_126601,null,catalytic activity,metabolic process,ACS10,,Non - Mutable in CDS
53,PF3D7_1009300,,"conserved Plasmodium protein, unknown function",0,OG5_160581,cytoplasm,catalytic activity,metabolic process,PF10_0090,,Non - Mutable in CDS
54,PF3D7_1144500,,SUMO-activating enzyme subunit 1,0,OG5_128859,null,catalytic activity,null,AOS1,Essential,Non - Mutable in CDS
54,PF3D7_1038100,,"GDP dissociation inhibitor, putative",0,OG5_153600,cytoplasm,"GTPase activator activity, Rab GDP-dissociation inhibitor activity, oxidoreductase activity","oxidation-reduction process, protein transport, regulation of GTPase activity, small GTPase mediated signal transduction",PF10_0373,Essential,Non - Mutable in CDS
55,PF3D7_0914900,,"BSD-domain protein, putative",0,OG5_165086,null,null,null,PFI0730W,,Mutable in CDS
