"Gene ID","source_id","Product Description","Previous ID(s)"
"PBANKA_1332500","PBANKA_1332500.1","pre-rRNA-processing protein PNO1, putative","Previous IDs: PB300379.00.0;PBANKA_133250"
"PBANKA_1332600","PBANKA_1332600.1","conserved Plasmodium protein, unknown function","Previous IDs: PB301507.00.0;PB402065.00.0;PBANKA_133260"
"PBANKA_1332700","PBANKA_1332700.1","duffy-binding protein","Previous IDs: PB000282.01.0;PB300962.00.0;PBANKA_133270"
"PBANKA_1332800","PBANKA_1332800.1","acetyl-CoA carboxylase","Previous IDs: PB000494.02.0;PB000685.01.0;PB300172.00.0;PBANKA_133280"
"PBANKA_1332900","PBANKA_1332900.1","mediator of RNA polymerase II transcription subunit 6, putative","Previous IDs: PB000495.02.0;PBANKA_133290"
"PBANKA_1333000","PBANKA_1333000.1","conserved Plasmodium protein, unknown function","Previous IDs: PBANKA_133300"
"PBANKA_1333100","PBANKA_1333100.1","protein MGET, putative","Previous IDs: PB000497.02.0;PBANKA_133310"
"PBANKA_1333200","PBANKA_1333200.1","autophagy-related protein 12, putative","Previous IDs: PBANKA_133320"
"PBANKA_1333300","PBANKA_1333300.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000086.02.0;PB000383.01.0;PB000496.02.0;PBANKA_133330"
"PBANKA_1333400","PBANKA_1333400.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000087.02.0;PBANKA_133340"
"PBANKA_1333500","PBANKA_1333500.1","conserved Plasmodium protein, unknown function","Previous IDs: PB104448.00.0;PBANKA_133350"
"PBANKA_1333600","PBANKA_1333600.1","mitochondrial pyruvate carrier protein 2, putative","Previous IDs: PB000062.02.0;PBANKA_133360"
"PBANKA_1333700","PBANKA_1333700.1","cGMP-specific 3',5'-cyclic phosphodiesterase delta","Previous IDs: PB000873.01.0;PBANKA_133370;PDEdelta"
"PBANKA_1333800","PBANKA_1333800.1","RAP protein, putative","Previous IDs: PB000874.01.0;PBANKA_133380"
"PBANKA_1333900","PBANKA_1333900.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000338.03.0;PB000875.01.0;PBANKA_133390"
"PBANKA_1334000","PBANKA_1334000.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000337.03.0;PB000370.03.0;PBANKA_133400"
"PBANKA_1334100","PBANKA_1334100.1","proteasome subunit beta type-2, putative","Previous IDs: PB000621.00.0;PBANKA_133410"
"PBANKA_1334200","PBANKA_1334200.1","RNA 3'-terminal phosphate cyclase-like protein, putative","Previous IDs: PB000217.02.0;PB300825.00.0;PBANKA_133420"
"PBANKA_1334300","PBANKA_1334300.1","exported protein 2","Previous IDs: PB000390.00.0;PBANKA_133430"
"PBANKA_1334400","PBANKA_1334400.1","inorganic anion antiporter, putative","Previous IDs: PB000598.03.0;PBANKA_133440"
"PBANKA_1334500","PBANKA_1334500.1","RAP protein, putative","Previous IDs: PB000600.03.0;PBANKA_133450"
"PBANKA_1334600","PBANKA_1334600.1","diacylglycerol kinase, putative","Previous IDs: PB000599.03.0;PBANKA_133460"
"PBANKA_1334700","PBANKA_1334700.1","transmembrane protein 43, putative","Previous IDs: PB000686.03.0;PB300803.00.0;PBANKA_133470"
"PBANKA_1334800","PBANKA_1334800.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000685.03.0;PB108045.00.0;PB108046.00.0;PBANKA_133480"
"PBANKA_1334900","PBANKA_1334900.1","conserved Plasmodium protein, unknown function","Previous IDs: PB108044.00.0;PBANKA_133490"
"PBANKA_1335000","PBANKA_1335000.1","conserved Plasmodium protein, unknown function","Previous IDs: PBANKA_133500"
"PBANKA_1335100","PBANKA_1335100.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000171.01.0;PB000580.03.0;PB000945.00.0;PB300590.00.0;PBANKA_133510"
"PBANKA_1335200","PBANKA_1335200.1","pre-mRNA-splicing factor ISY1, putative","Previous IDs: PB000946.00.0;PBANKA_133520"
"PBANKA_1335300","PBANKA_1335300.1","protein transport protein YIP1, putative","Previous IDs: PB101672.00.0;PBANKA_133530"
"PBANKA_1335400","PBANKA_1335400.1","histone deacetylase, putative","Previous IDs: PB000660.03.0;PB000810.01.0;PB107988.00.0;PB301238.00.0;PBANKA_133540"
"PBANKA_1335500","PBANKA_1335500.1","conserved protein, unknown function","Previous IDs: PB000365.02.0;PB000661.03.0;PB001249.00.0;PBANKA_133550"
"PBANKA_1335600","PBANKA_1335600.1","M1-family alanyl aminopeptidase, putative","Previous IDs: PB000086.00.0;PB301195.00.0;PBANKA_133560"
"PBANKA_1335700","PBANKA_1335700.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000004.01.0;PBANKA_133570"
"PBANKA_1335800","PBANKA_1335800.1","protein disulfide-isomerase, putative","Previous IDs: PB000839.02.0;PBANKA_133580"
"PBANKA_1335900","PBANKA_1335900.1","DNA-directed RNA polymerase, alpha subunit, putative","Previous IDs: PB000837.02.0;PB300311.00.0;PBANKA_133590"
"PBANKA_1336000","PBANKA_1336000.1","HSP20-like chaperone, putative","Previous IDs: PB000840.02.0;PBANKA_133600"
"PBANKA_1336100","PBANKA_1336100.1","dihydroorotase, putative","Previous IDs: PB000838.02.0;PBANKA_133610"
"PBANKA_1336200","PBANKA_1336200.1","conserved Plasmodium protein, unknown function","Previous IDs: PB105756.00.0;PBANKA_133620"
"PBANKA_1336300","PBANKA_1336300.1","GTPase-activating protein, putative","Previous IDs: PB000183.02.0;PB105755.00.0;PBANKA_133630"
"PBANKA_1336400","PBANKA_1336400.1","DnaJ protein, putative","Previous IDs: PB000935.01.0;PBANKA_133640"
"PBANKA_1336500","PBANKA_1336500.1","CKK domain-containing protein, putative","Previous IDs: PB001044.02.0;PB001045.02.0;PBANKA_133650"
"PBANKA_1336600","PBANKA_1336600.1","conserved protein, unknown function","Previous IDs: PB001043.02.0;PBANKA_133660"
"PBANKA_1336700","PBANKA_1336700.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000197.00.0;PBANKA_133670"
"PBANKA_1336800","PBANKA_1336800.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000511.00.0;PBANKA_133680"
"PBANKA_1336900","PBANKA_1336900.1","conserved Plasmodium protein, unknown function","Previous IDs: PB100909.00.0;PB301505.00.0;PBANKA_133690"
"PBANKA_1337000","PBANKA_1337000.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000387.00.0;PBANKA_133700"
"PBANKA_1337100","PBANKA_1337100.1","splicing factor 1, putative","Previous IDs: PB000386.00.0;PB100689.00.0;PBANKA_133710"
"PBANKA_1337200","PBANKA_1337200.1","protein transport protein SFT2, putative","Previous IDs: PB000044.02.0;PBANKA_133720"
"PBANKA_1337300","PBANKA_1337300.1","conserved protein, unknown function","Previous IDs: PB000367.00.0;PBANKA_133730"
"PBANKA_1337400","PBANKA_1337400.1","nucleoside-diphosphatase, putative","Previous IDs: PB000368.00.0;PB000842.01.0;PBANKA_133740"
"PBANKA_1337500","PBANKA_1337500.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000651.02.0;PB100245.00.0;PB105284.00.0;PBANKA_133750"
"PBANKA_1337600","PBANKA_1337600.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000539.02.0;PB300999.00.0;PBANKA_133760"
"PBANKA_1337700","PBANKA_1337700.1","conserved Plasmodium protein, unknown function","Previous IDs: PB403657.00.0;PBANKA_133770"
"PBANKA_1337800","PBANKA_1337800.1","palmitoyltransferase DHHC5","Previous IDs: PB000030.02.0;PB300982.00.0;PBANKA_133780"
"PBANKA_1337900","PBANKA_1337900.1","conserved Plasmodium protein, unknown function","Previous IDs: PB300924.00.0;PB401977.00.0;PBANKA_133790"
"PBANKA_1338000","PBANKA_1338000.1","conserved protein, unknown function","Previous IDs: PB300381.00.0;PBANKA_133800"
"PBANKA_1338100","PBANKA_1338100.1","conserved protein, unknown function","Previous IDs: PB001197.02.0;PBANKA_133810"
"PBANKA_1338200","PBANKA_1338200.1","beta-hydroxyacyl-ACP dehydratase, putative","Previous IDs: PB001196.02.0;PBANKA_133820"
"PBANKA_1338300","PBANKA_1338300.1","60S ribosomal protein L6, putative","Previous IDs: PB001195.02.0;PBANKA_133830"
"PBANKA_1338400","PBANKA_1338400.1","V-type proton ATPase subunit G, putative","Previous IDs: PB000642.03.0;PBANKA_133840"
"PBANKA_1338500","PBANKA_1338500.1","N-acetyltransferase, GNAT family, putative","Previous IDs: PBANKA_133850"
"PBANKA_1338600","PBANKA_1338600.1","60S ribosomal protein L23, putative","Previous IDs: PBANKA_133860"
"PBANKA_1338700","PBANKA_1338700.1","plasmepsin V, putative","Previous IDs: PB001439.02.0;PB301005.00.0;PBANKA_133870"
"PBANKA_1338800","PBANKA_1338800.1","conserved protein, unknown function","Previous IDs: PB001440.02.0;PBANKA_133880"
"PBANKA_1338900","PBANKA_1338900.1","glideosome associated protein with multiple membrane spans 1, putative","Previous IDs: PB000719.03.0;PBANKA_133890;PSOP23"
"PBANKA_1339000","PBANKA_1339000.1","vacuolar protein sorting-associated protein 52, putative","Previous IDs: PB000720.03.0;PB001050.00.0;PB301463.00.0;PB405936.00.0;PBANKA_133900"
"PBANKA_1339100","PBANKA_1339100.1","protein BCP1, putative","Previous IDs: PBANKA_133910"
"PBANKA_1339200","PBANKA_1339200.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000665.00.0;PBANKA_133920"
"PBANKA_1339300","PBANKA_1339300.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000025.02.0;PBANKA_133930"
"PBANKA_1339400","PBANKA_1339400.1","micro-fibrillar-associated protein, putative","Previous IDs: PB000026.02.0;PB402641.00.0;PBANKA_133940"
"PBANKA_1339500","PBANKA_1339500.1","conserved Plasmodium protein, unknown function","Previous IDs: PB300557.00.0;PB301181.00.0;PBANKA_133950"
"PBANKA_1339600","PBANKA_1339600.1","PRELI domain-containing protein, putative","Previous IDs: PBANKA_133960"
"PBANKA_1339700","PBANKA_1339700.1","DEAD box helicase, putative","Previous IDs: PB001072.03.0;PB301114.00.0;PBANKA_133970"
"PBANKA_1339800","PBANKA_1339800.1","conserved Plasmodium protein, unknown function","Previous IDs: PB001073.03.0;PB107179.00.0;PBANKA_133980"
"PBANKA_1339900","PBANKA_1339900.1","SNARE protein, putative","Previous IDs: PB000178.03.0;PBANKA_133990"
"PBANKA_1340000","PBANKA_1340000.1","dihydrofolate synthase/folylpolyglutamate synthase, putative","Previous IDs: PB000177.03.0;PBANKA_134000"
"PBANKA_1340100","PBANKA_1340100.1","L-lactate dehydrogenase","Previous IDs: LDH;PB000185.00.0;PBANKA_134010"
"PBANKA_1340200","PBANKA_1340200.1","U6 snRNA-associated Sm-like protein LSm6, putative","Previous IDs: PB000186.00.0;PBANKA_134020"
"PBANKA_1340300","PBANKA_1340300.1","phosphoribosylpyrophosphate synthetase, putative","Previous IDs: PB000183.00.0;PBANKA_134030"
"PBANKA_1340400","PBANKA_1340400.1","lactate dehydrogenase, putative","Previous IDs: PB000184.00.0;PBANKA_134040"
"PBANKA_1340500","PBANKA_1340500.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000236.02.0;PB000445.03.0;PB000797.00.0;PB300445.00.0;PBANKA_134050"
"PBANKA_1340600","PBANKA_1340600.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000235.02.0;PBANKA_134060"
"PBANKA_1340700","PBANKA_1340700.1","mitochondrial fission 1 protein, putative","Previous IDs: PB000163.03.0;PBANKA_134070"
"PBANKA_1340800","PBANKA_1340800.1","conserved Plasmodium protein, unknown function","Previous IDs: PBANKA_134080"
"PBANKA_1340900","PBANKA_1340900.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000162.03.0;PB402000.00.0;PB405112.00.0;PBANKA_134090"
"PBANKA_1341000","PBANKA_1341000.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000783.01.0;PB000973.01.0;PB103571.00.0;PB404009.00.0;PBANKA_134100"
"PBANKA_1341100","PBANKA_1341100.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000243.03.0;PBANKA_134110"
"PBANKA_1341200","PBANKA_1341200.1","WD repeat-containing protein, putative","Previous IDs: PB301342.00.0;PBANKA_134120"
"PBANKA_1341300","PBANKA_1341300.1","GTPase-activating protein, putative","Previous IDs: PB000917.00.0;PB405595.00.0;PBANKA_134130"
"PBANKA_1341400","PBANKA_1341400.1","conserved Plasmodium protein, unknown function","Previous IDs: PB101622.00.0;PBANKA_134140"
"PBANKA_1341500","PBANKA_1341500.1","RNA-binding protein, putative","Previous IDs: PB000557.03.0;PBANKA_134150"
"PBANKA_1341600","PBANKA_1341600.1","translation initiation factor eIF-2B subunit gamma, putative","Previous IDs: PB000558.03.0;PBANKA_134160"
"PBANKA_1341700","PBANKA_1341700.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000090.00.0;PB000110.00.0;PB000408.02.0;PB000558.00.0;PB000617.00.0;PBANKA_134170"
"PBANKA_1341800","PBANKA_1341800.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000055.03.0;PB000083.01.0;PB000759.00.0;PB301313.00.0;PBANKA_134180"
"PBANKA_1341900","PBANKA_1341900.1","conserved Apicomplexan protein, unknown function","Previous IDs: PB100065.00.0;PBANKA_134190"
"PBANKA_1342000","PBANKA_1342000.1","Qa-SNARE protein, putative","Previous IDs: PB106293.00.0;PBANKA_134200"
"PBANKA_1342100","PBANKA_1342100.1","conserved Plasmodium protein, unknown function","Previous IDs: PB106292.00.0;PB405249.00.0;PBANKA_134210"
"PBANKA_1342200","PBANKA_1342200.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000537.01.0;PB101142.00.0;PBANKA_134220"
"PBANKA_1342300","PBANKA_1342300.1","conserved protein, unknown function","Previous IDs: PB000538.01.0;PBANKA_134230;PBANKA_1342300.1;PBANKA_1342300.2"
"PBANKA_1342300","PBANKA_1342300.2","conserved protein, unknown function","Previous IDs: PB000538.01.0;PBANKA_134230;PBANKA_1342300.1;PBANKA_1342300.2"
"PBANKA_1342400","PBANKA_1342400.1","ribonuclease P protein subunit RPR2, putative","Previous IDs: PB000362.02.0;PBANKA_134240"
"PBANKA_1342500","PBANKA_1342500.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000553.03.0;PB401942.00.0;PBANKA_134250"
"PBANKA_1342600","PBANKA_1342600.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000554.03.0;PBANKA_134260"
"PBANKA_1342700","PBANKA_1342700.1","conserved protein, unknown function","Previous IDs: PB300218.00.0;PB300986.00.0;PBANKA_134270"
"PBANKA_1342800","PBANKA_1342800.1","nicotinamide/nicotinic acid mononucleotide adenylyltransferase, putative","Previous IDs: PB103912.00.0;PB401609.00.0;PBANKA_134280"
"PBANKA_1342900","PBANKA_1342900.1","regulator of nonsense transcripts 3B, putative","Previous IDs: PB000277.00.0;PBANKA_134290"
"PBANKA_1343000","PBANKA_1343000.1","ribose-phosphate pyrophosphokinase, putative","Previous IDs: PB000698.00.0;PBANKA_134300"
"PBANKA_1343100","PBANKA_1343100.1","conserved Plasmodium protein, unknown function","Previous IDs: PBANKA_134310"
"PBANKA_1343200","PBANKA_1343200.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000780.00.0;PB001020.01.0;PBANKA_134320"
"PBANKA_1343300","PBANKA_1343300.1","proteasome subunit beta type-7, putative","Previous IDs: PB001452.02.0;PBANKA_134330"
"PBANKA_1343400","PBANKA_1343400.1","conserved Plasmodium protein, unknown function","Previous IDs: PB001453.02.0;PBANKA_134340"
"PBANKA_1343500","PBANKA_1343500.1","conserved protein, unknown function","Previous IDs: PB000050.00.0;PBANKA_134350"
"PBANKA_1343600","PBANKA_1343600.1","conserved protein, unknown function","Previous IDs: PB001120.00.0;PBANKA_134360"
"PBANKA_1343700","PBANKA_1343700.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000841.01.0;PBANKA_134370"
"PBANKA_1343750","PBANKA_1343750.1","Plasmodium RNA of unknown function RUF1","Previous IDs: PBANKA_134375"
"PBANKA_1343800","PBANKA_1343800.1","transcriptional regulatory protein sir2a","Previous IDs: PB000839.01.0;PBANKA_134380;PbSir2A"
"PBANKA_1343900","PBANKA_1343900.1","PUB domain-containing protein, putative","Previous IDs: PB000840.01.0;PBANKA_134390"
"PBANKA_1344000","PBANKA_1344000.1","DNA-directed RNA polymerase III subunit RPC1, putative","Previous IDs: PB000293.02.0;PB000871.03.0;PB300766.00.0;PBANKA_134400"
"PBANKA_1344100","PBANKA_1344100.1","myosin F, putative","Previous IDs: PB000317.01.0;PB000450.03.0;PB301012.00.0;PB301552.00.0;PBANKA_134410"
"PBANKA_1344200","PBANKA_1344200.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000453.03.0;PBANKA_134420"
"PBANKA_1344300","PBANKA_1344300.1","chromatin assembly factor 1 subunit B, putative","Previous IDs: PB000452.03.0;PB301283.00.0;PBANKA_134430"
"PBANKA_1344400","PBANKA_1344400.1","AMP deaminase, putative","Previous IDs: PB000451.03.0;PB300151.00.0;PBANKA_134440"
"PBANKA_1344500","PBANKA_1344500.1","conserved protein, unknown function","Previous IDs: PB000514.01.0;PB103073.00.0;PBANKA_134450"
"PBANKA_1344600","PBANKA_1344600.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000781.00.0;PBANKA_134460"
"PBANKA_1344700","PBANKA_1344700.1","apicoplast calcium binding protein 1, putative","Previous IDs: PB001451.02.0;PB300029.00.0;PBANKA_134470"
"PBANKA_1344800","PBANKA_1344800.1","conserved Plasmodium protein, unknown function","Previous IDs: PB001450.02.0;PB300277.00.0;PBANKA_134480"
"PBANKA_1344900","PBANKA_1344900.1","conserved Plasmodium protein, unknown function","Previous IDs: PB300936.00.0;PBANKA_134490"
"PBANKA_1345000","PBANKA_1345000.1","PITH domain-containing protein, putative","Previous IDs: PB000972.02.0;PBANKA_134500"
"PBANKA_1345100","PBANKA_1345100.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000970.02.0;PBANKA_134510"
"PBANKA_1345200","PBANKA_1345200.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000973.02.0;PBANKA_134520"
"PBANKA_1345300","PBANKA_1345300.1","DnaJ protein, putative","Previous IDs: PB000971.02.0;PBANKA_134530"
"PBANKA_1345400","PBANKA_1345400.1","ER lumen protein retaining receptor 1, putative","Previous IDs: PB000969.02.0;PBANKA_134540"
"PBANKA_1345500","PBANKA_1345500.1","CTLH domain-containing protein, putative","Previous IDs: PB001128.02.0;PB300682.00.0;PBANKA_134550"
"PBANKA_1345600","PBANKA_1345600.1","elongation factor Tu, putative","Previous IDs: PB001127.02.0;PB300681.00.0;PBANKA_134560"
"PBANKA_1345700","PBANKA_1345700.1","GPI transamidase subunit PIG-U, putative","Previous IDs: PB001129.02.0;PBANKA_134570"
"PBANKA_1345800","PBANKA_1345800.1","RNA-binding protein, putative","Previous IDs: PB106158.00.0;PBANKA_134580"
"PBANKA_1345850","PBANKA_1345850.1","small nucleolar RNA snoR17","Previous IDs: PBANKA_134585"
"PBANKA_1345900","PBANKA_1345900.1","protein kinase, putative","Previous IDs: PB106157.00.0;PBANKA_134590"
"PBANKA_1346000","PBANKA_1346000.1","DNA polymerase theta, putative","Previous IDs: PB001166.00.0;PB403249.00.0;PBANKA_134600"
"PBANKA_1346100","PBANKA_1346100.1","conserved Plasmodium protein, unknown function","Previous IDs: PB404030.00.0;PBANKA_134610"
"PBANKA_1346200","PBANKA_1346200.1","signal peptidase complex catalytic subunit SEC11, putative","Previous IDs: PB001244.00.0;PB301173.00.0;PBANKA_134620"
"PBANKA_1346300","PBANKA_1346300.1","CPW-WPC family protein","Previous IDs: PB001243.00.0;PBANKA_134630"
"PBANKA_1346400","PBANKA_1346400.1","conserved Plasmodium protein, unknown function","Previous IDs: PB001245.00.0;PBANKA_134640"
"PBANKA_1346500","PBANKA_1346500.1","protein tyrosine phosphatase-like protein","Previous IDs: PB001246.00.0;PB301100.00.0;PBANKA_134650"
"PBANKA_1346600","PBANKA_1346600.1","glutamine--tRNA ligase, putative","Previous IDs: PB000713.01.0;PBANKA_134660"
"PBANKA_1346700","PBANKA_1346700.1","60S ribosomal protein L23, putative","Previous IDs: PB104904.00.0;PBANKA_134670"
"PBANKA_1346750","PBANKA_1346750.1","small nucleolar RNA snoR18","Previous IDs: PBANKA_134675"
"PBANKA_1346800","PBANKA_1346800.1","Qa-SNARE protein, putative","Previous IDs: PBANKA_134680"
"PBANKA_1346900","PBANKA_1346900.1","conserved protein, unknown function","Previous IDs: PB104902.00.0;PBANKA_134690"
"PBANKA_1347000","PBANKA_1347000.1","conserved protein, unknown function","Previous IDs: PB104900.00.0;PB104901.00.0;PB401537.00.0;PBANKA_134700"
"PBANKA_1347100","PBANKA_1347100.1","trafficking protein particle complex subunit 2, putative","Previous IDs: PB000322.02.0;PBANKA_134710"
"PBANKA_1347200","PBANKA_1347200.1","nucleotidyltransferase, putative","Previous IDs: PB000323.02.0;PB000843.01.0;PB301093.00.0;PB405971.00.0;PBANKA_134720"
"PBANKA_1347300","PBANKA_1347300.1","SAM-dependent RNA methyltransferase, putative","Previous IDs: PBANKA_134730"
"PBANKA_1347400","PBANKA_1347400.1","DNA-(apurinic or apyrimidinic site) lyase 1, putative","Previous IDs: PB103684.00.0;PBANKA_134740"
"PBANKA_1347500","PBANKA_1347500.1","ATP-dependent RNA helicase DBP8, putative","Previous IDs: PB000844.01.0;PBANKA_134750"
"PBANKA_1347600","PBANKA_1347600.1","eukaryotic translation initiation factor 6, putative","Previous IDs: PB103686.00.0;PBANKA_134760"
"PBANKA_1347700","PBANKA_1347700.1","isoleucine--tRNA ligase, putative","Previous IDs: PB001141.02.0;PB300750.00.0;PBANKA_134770"
"PBANKA_1347800","PBANKA_1347800.1","20 kDa chaperonin, putative","Previous IDs: PB106176.00.0;PB404617.00.0;PBANKA_134780"
"PBANKA_1347900","PBANKA_1347900.1","ubiquitin activating enzyme, putative","Previous IDs: PB000355.02.0;PB000815.01.0;PBANKA_134790"
"PBANKA_1348000","PBANKA_1348000.1","transmembrane emp24 domain-containing protein, putative","Previous IDs: PB000603.02.0;PBANKA_134800"
"PBANKA_1348100","PBANKA_1348100.1","conserved protein, unknown function","Previous IDs: PB000602.02.0;PBANKA_134810"
"PBANKA_1348200","PBANKA_1348200.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000606.02.0;PB105390.00.0;PBANKA_134820"
"PBANKA_1348300","PBANKA_1348300.1","U3 small nucleolar RNA-associated protein 4, putative","Previous IDs: PB000607.02.0;PB001017.00.0;PB300301.00.0;PBANKA_134830"
"PBANKA_1348400","PBANKA_1348400.1","histone H3-like centromeric protein CSE4, putative","Previous IDs: CenH3;PB001018.00.0;PBANKA_134840"
"PBANKA_1348500","PBANKA_1348500.1","Voldacs domain-containing protein, putative","Previous IDs: PB001019.00.0;PBANKA_134850"
"PBANKA_1348600","PBANKA_1348600.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000267.03.0;PB000886.01.0;PB001020.00.0;PBANKA_134860"
"PBANKA_1348700","PBANKA_1348700.1","RING zinc finger protein, putative","Previous IDs: PB000266.03.0;PBANKA_134870"
"PBANKA_1348800","PBANKA_1348800.1","conserved protein, unknown function","Previous IDs: PB000161.02.0;PB301043.00.0;PBANKA_134880"
"PBANKA_1348900","PBANKA_1348900.1","chaperone binding protein, putative","Previous IDs: PB000439.03.0;PBANKA_134890"
"PBANKA_1349000","PBANKA_1349000.1","MSP7-like protein","Previous IDs: PB000440.03.0;PB000441.03.0;PB107616.00.0;PBANKA_134900"
"PBANKA_1349100","PBANKA_1349100.1","MSP7-like protein","Previous IDs: PB000442.03.0;PBANKA_134910"
"PBANKA_1349200","PBANKA_1349200.1","MSP7-like protein","Previous IDs: PB107618.00.0;PBANKA_134920"
"PBANKA_1349300","PBANKA_1349300.1","conserved Plasmodium protein, unknown function","Previous IDs: PB104017.00.0;PBANKA_134930"
"PBANKA_1349400","PBANKA_1349400.1","DNA replication complex GINS protein, putative","Previous IDs: PB000816.00.0;PB001036.01.0;PB300078.00.0;PBANKA_134940"
"PBANKA_1349500","PBANKA_1349500.1","conserved Plasmodium protein, unknown function","Previous IDs: PB001015.03.0;PBANKA_134950"
"PBANKA_1349600","PBANKA_1349600.1","conserved oligomeric Golgi complex subunit 3, putative","Previous IDs: PB000396.03.0;PB000871.01.0;PB001016.03.0;PB300692.00.0;PBANKA_134960"
"PBANKA_1349700","PBANKA_1349700.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000375.03.0;PB103732.00.0;PBANKA_134970"
"PBANKA_1349800","PBANKA_1349800.1","thrombospondin-related anonymous protein","Previous IDs: PB000374.03.0;PBANKA_134980"
"PBANKA_1349900","PBANKA_1349900.1","conserved Plasmodium protein, unknown function","Previous IDs: PB105832.00.0;PB301517.00.0;PBANKA_134990"
"PBANKA_1350000","PBANKA_1350000.1","conserved protein, unknown function","Previous IDs: PB000887.02.0;PBANKA_135000"
"PBANKA_1350100","PBANKA_1350100.1","conserved Plasmodium protein, unknown function","Previous IDs: PB402792.00.0;PBANKA_135010"
"PBANKA_1350200","PBANKA_1350200.1","conserved Plasmodium protein, unknown function","Previous IDs: PB105828.00.0;PBANKA_135020"
"PBANKA_1350300","PBANKA_1350300.1","RanBPM and CLTH-like protein, putative","Previous IDs: PB001042.01.0;PBANKA_135030"
"PBANKA_1350350","PBANKA_1350350.1","small nucleolar RNA snoR19","Previous IDs: PBANKA_135035"
"PBANKA_1350400","PBANKA_1350400.1","conserved protein, unknown function","Previous IDs: PB001041.01.0;PBANKA_135040"
"PBANKA_1350500","PBANKA_1350500.1","parasitophorous vacuolar protein 3","Previous IDs: PB104029.00.0;PBANKA_135050"
"PBANKA_1350600","PBANKA_1350600.1","nuclear movement protein, putative","Previous IDs: PB000571.02.0;PB301141.00.0;PBANKA_135060"
"PBANKA_1350700","PBANKA_1350700.1","tryptophan--tRNA ligase, putative","Previous IDs: PB000280.03.0;PB000570.02.0;PBANKA_135070"
"PBANKA_1350800","PBANKA_1350800.1","mitochondrial intermediate peptidase, putative","Previous IDs: PB000279.03.0;PB000913.00.0;PBANKA_135080"
"PBANKA_1350900","PBANKA_1350900.1","protein kinase 6","Previous IDs: PB000912.00.0;PBANKA_135090;PK6"
"PBANKA_1351000","PBANKA_1351000.1","1-deoxy-D-xylulose 5-phosphate synthase, putative","Previous IDs: PB000399.02.0;PB000622.03.0;PB000837.00.0;PB300780.00.0;PB301330.00.0;PBANKA_135100"
"PBANKA_1351100","PBANKA_1351100.1","exoribonuclease, putative","Previous IDs: PB000647.00.0;PBANKA_135110"
"PBANKA_1351200","PBANKA_1351200.1","zinc finger protein, putative","Previous IDs: PB000358.02.0;PBANKA_135120"
"PBANKA_1351300","PBANKA_1351300.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000357.02.0;PB300763.00.0;PBANKA_135130"
"PBANKA_1351351","PBANKA_1351351.1","tRNA Serine","Previous IDs: berg13:tRNA:rfamscan:1951858-1951939"
"PBANKA_1351400","PBANKA_1351400.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000274.01.0;PBANKA_135140"
"PBANKA_1351500","PBANKA_1351500.1","calcium-dependent protein kinase 5","Previous IDs: PB000275.01.0;PB000341.03.0;PBANKA_135150"
"PBANKA_1351600","PBANKA_1351600.1","conserved Plasmodium protein, unknown function","Previous IDs: PB000764.00.0;PBANKA_135160"
"PBANKA_1351700","PBANKA_1351700.1","LMBR1 domain-containing protein, putative","Previous IDs: PB000685.02.0;PBANKA_135170"
"PBANKA_1351800","PBANKA_1351800.1","26S proteasome regulatory subunit RPN3, putative","Previous IDs: PB000684.02.0;PBANKA_135180"
